Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.75,10.17,0.0,7.82,24.56,24.95,13.44,22.08,17.48,2.5
Feb,2.79,6.2,0.82,6.33,91.0,20.87,44.46,101.44,32.32,42.5
Mar,2.05,7.5,10.46,23.64,10.85,15.35,6.92,59.9,5.0,0.4
Apr,6.58,13.4,9.88,25.06,23.13,0.0,21.94,19.92,5.88,13.4
May,7.35,10.46,29.35,16.3,78.38,26.42,17.55,95.57,83.65,6.4
Jun,255.81,231.75,60.92,180.39,436.62,136.42,216.41,413.66,170.66,342.4
Jul,204.01,391.51,74.47,424.23,301.26,294.67,318.28,160.54,298.84,594.4
Aug,307.33,335.1,71.5,336.0,321.53,289.94,311.42,184.09,295.59,259.1
Sep,204.14,205.74,82.63,156.81,170.55,209.56,210.06,183.93,218.74,168.0
Oct,0.0,93.65,8.38,126.57,45.88,110.71,212.15,0.0,109.06,174.2
Nov,4.97,15.91,18.16,66.47,100.72,40.1,41.42,54.65,48.79,0.6
Dec,0.14,3.46,0.0,6.32,1.61,10.42,4.94,5.46,4.79,3.8
