Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,0.73,0.0,0.11,0.51,0.0,0.13,0.15,0.0,0.14,0.14,0.0,0.0
Feb,0.15,1.21,0.78,0.11,1.21,11.35,0.13,0.28,0.0,0.2,0.27,4.5,0.7
Mar,0.3,2.88,0.37,0.75,4.68,1.85,6.18,16.2,14.29,0.0,24.74,11.78,0.0
Apr,1.11,9.7,0.0,1.4,9.83,0.2,0.1,0.59,0.86,0.0,0.0,0.0,1.4
May,7.21,23.59,4.66,11.11,25.11,25.54,2.9,8.68,0.0,5.61,10.57,12.83,2.2
Jun,155.01,157.18,147.16,148.62,132.91,148.01,65.88,63.03,115.87,64.04,39.76,131.73,153.4
Jul,172.71,197.87,66.89,149.66,186.28,70.43,141.54,106.47,83.95,143.74,120.39,81.77,58.7
Aug,115.48,156.78,182.84,109.8,168.76,184.14,20.63,18.47,152.17,0.0,53.4,127.9,83.5
Sep,211.05,166.98,149.58,202.03,162.85,151.31,188.48,115.41,155.08,189.72,97.12,157.93,40.5
Oct,39.94,74.38,71.83,48.73,79.2,75.81,98.49,70.54,91.76,82.34,69.67,90.9,5.6
Nov,3.28,23.34,0.0,6.83,26.13,0.0,7.99,9.08,17.87,8.58,31.37,10.73,20.3
Dec,0.79,4.92,0.57,0.82,3.03,6.16,0.31,0.67,6.42,1.32,0.89,0.0,0.0
