Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,6.3,3.8,0.0,2.31,4.12,0.0,1.18,4.73,0.0,0.89,4.54,15.9,0.0
Feb,1.54,2.47,0.64,1.33,1.74,0.0,1.51,3.75,2.43,1.36,2.83,0.0,0.0
Mar,2.59,4.78,5.61,1.62,4.85,9.33,29.94,2.87,5.04,37.09,6.28,8.3,0.0
Apr,0.66,4.61,0.76,1.34,4.77,4.98,2.05,10.79,0.0,8.78,11.36,0.0,0.3
May,8.26,11.98,5.24,11.91,15.97,0.0,7.27,12.35,6.2,0.0,11.81,6.42,1.9
Jun,41.98,54.3,71.32,42.18,62.37,60.84,24.64,40.91,69.09,24.63,36.29,89.67,52.0
Jul,140.13,179.22,153.87,151.04,185.49,157.84,187.3,161.97,186.89,181.97,159.56,189.43,147.8
Aug,142.5,165.16,107.12,154.8,193.22,110.4,271.19,241.43,132.28,271.16,219.28,141.64,94.1
Sep,75.95,90.46,17.37,75.69,91.5,23.87,70.06,62.52,46.95,71.14,58.46,33.62,127.1
Oct,4.56,11.42,0.87,4.22,11.46,0.0,11.15,18.27,4.14,11.43,100.3,35.53,0.1
Nov,0.68,7.66,0.56,1.51,9.39,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0
Dec,0.69,3.76,0.0,0.77,7.81,2.62,0.63,12.02,20.53,0.68,15.67,7.85,0.2
