Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.35,8.45,17.0,0.0,0.0,0.0,1.97,1.09,0.0,0.0
Feb,0.43,5.27,0.0,0.2,5.33,0.0,0.0,11.74,16.62,7.8
Mar,1.98,10.27,1.98,10.28,12.0,16.59,0.0,16.34,10.63,0.6
Apr,2.93,4.13,11.38,1.97,1.0,0.13,0.0,0.42,0.0,1.1
May,1.41,1.41,26.3,12.64,0.0,0.0,0.0,0.0,15.17,0.0
Jun,116.44,115.41,81.01,152.5,119.83,82.75,138.72,120.13,99.77,218.1
Jul,197.46,200.33,87.81,237.44,213.87,212.17,264.75,231.99,219.23,242.8
Aug,156.1,183.32,51.75,137.61,173.92,164.04,154.61,181.87,163.05,189.4
Sep,133.22,139.68,35.65,89.94,140.48,109.29,131.34,234.31,117.31,53.6
Oct,31.27,37.14,40.52,3.14,5.35,37.59,0.0,5.74,31.25,0.0
Nov,13.32,27.5,0.0,0.61,4.35,15.03,0.27,2.26,7.11,5.8
Dec,5.77,8.44,15.72,0.0,2.31,0.0,1.33,3.73,0.0,0.0
