Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,10.5,22.05,0.4,10.39,19.56,0.0,11.27,19.66,19.77,24.48,13.26,24.74,0.0
Feb,16.82,18.32,0.15,16.94,19.15,0.0,24.85,9.88,16.12,23.24,11.33,16.16,6.6
Mar,3.84,12.86,0.0,3.23,11.09,2.77,3.54,0.0,16.15,2.79,0.0,8.73,0.0
Apr,1.42,5.38,1.3,0.99,9.56,10.4,2.4,11.78,0.0,21.04,19.44,7.01,15.4
May,4.82,9.44,3.2,1.93,12.5,14.45,4.55,31.66,0.0,5.11,24.84,14.91,27.4
Jun,74.75,102.79,24.39,72.46,98.4,31.94,65.18,67.84,28.94,64.24,60.29,29.31,24.3
Jul,278.99,310.91,0.0,291.57,323.12,0.0,312.36,205.81,391.55,323.72,486.73,390.92,244.1
Aug,248.94,271.87,0.0,235.07,258.24,0.0,190.75,250.0,139.21,188.62,290.18,147.25,292.9
Sep,140.01,166.73,46.41,143.22,87.18,77.78,79.88,115.22,88.23,78.83,100.62,95.84,89.5
Oct,15.91,29.63,0.51,15.59,26.54,4.41,49.7,101.11,33.36,47.89,149.29,49.28,0.0
Nov,0.21,9.79,0.0,0.08,9.14,7.25,0.33,2.69,0.0,0.32,0.7,7.47,0.2
Dec,0.8,6.2,0.0,1.63,6.5,0.38,0.35,0.81,0.0,0.25,0.0,4.55,0.0
