Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,1.89,8.94,15.48,5.98,0.21,3.12,14.91,13.26,9.77,0.0
Feb,1.66,6.34,13.03,8.0,10.92,0.83,12.86,12.06,1.73,17.3
Mar,5.71,12.87,0.0,0.25,7.26,6.71,0.0,10.55,0.0,0.0
Apr,2.31,5.55,2.75,0.2,2.76,0.14,3.1,2.14,10.83,24.0
May,1.58,0.54,0.0,7.05,3.96,0.0,5.33,3.93,0.21,0.0
Jun,159.97,148.03,62.07,120.37,142.41,97.68,133.29,143.15,106.33,175.1
Jul,251.27,257.4,75.81,222.01,255.41,236.36,243.74,276.84,251.44,217.7
Aug,236.69,223.51,45.54,133.7,180.94,179.23,181.5,129.71,182.68,151.5
Sep,191.37,187.23,51.03,94.38,148.69,137.61,130.97,213.39,148.51,89.6
Oct,57.59,55.01,29.35,7.31,28.91,25.36,4.85,35.25,34.27,0.0
Nov,3.65,22.63,2.11,14.11,22.32,21.45,11.41,24.94,17.51,0.0
Dec,0.27,8.67,13.53,0.0,17.3,10.19,0.0,26.22,14.8,0.2
