Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,1.69,0.0,0.12,11.79,0.0,0.0,11.22,0.0,0.0
Feb,0.03,1.58,0.0,0.1,0.23,0.0,0.02,0.47,2.82,0.0
Mar,0.45,0.0,13.58,0.1,0.24,13.74,0.51,0.0,0.0,0.0
Apr,3.49,2.78,4.68,0.1,4.23,11.88,8.09,4.88,0.0,0.0
May,0.45,0.0,0.0,0.0,2.22,15.67,2.55,1.51,3.0,0.0
Jun,6.43,0.0,32.26,9.8,41.09,52.5,35.93,34.86,59.88,53.0
Jul,299.95,298.04,95.62,176.95,300.59,256.39,229.27,311.4,274.58,482.2
Aug,210.71,198.04,53.91,94.69,140.69,180.08,188.43,28.15,181.64,253.9
Sep,106.83,132.74,58.19,59.2,83.48,117.3,62.09,120.37,128.33,38.2
Oct,1.76,4.34,25.27,0.0,0.0,0.0,0.0,0.0,6.66,0.0
Nov,7.47,19.76,6.02,0.0,0.0,10.58,0.0,0.03,1.24,0.0
Dec,0.1,0.78,0.0,0.1,0.26,5.03,0.0,0.36,0.0,0.0
