Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,0.9,0.82,0.18,1.71,4.48,0.1,5.46,10.66,0.11,5.59,6.88,0.0
Feb,0.1,1.99,0.67,0.06,1.16,0.0,0.01,1.51,0.0,0.09,1.69,2.51,3.0
Mar,0.43,5.91,4.85,0.16,4.88,13.32,2.0,3.53,4.46,0.35,3.99,2.1,19.5
Apr,26.09,33.58,7.31,39.41,41.86,17.24,57.45,42.28,3.65,57.58,41.79,23.07,15.7
May,81.12,77.91,31.76,79.97,88.8,55.78,57.55,85.41,38.18,58.27,100.27,46.56,63.8
Jun,52.19,61.06,38.71,64.82,97.43,36.78,65.0,123.8,85.39,64.93,104.79,78.85,74.9
Jul,62.8,70.18,20.94,66.56,107.86,34.08,83.64,7.18,53.11,83.77,108.28,78.08,20.1
Aug,91.14,86.75,66.49,86.34,130.83,73.45,6.93,0.0,85.1,7.86,0.0,93.63,35.8
Sep,131.91,132.73,148.77,133.28,192.15,150.15,74.22,156.7,99.76,73.67,145.68,104.93,104.6
Oct,169.17,132.0,163.81,162.91,135.99,161.8,128.64,39.88,91.66,117.91,0.0,96.11,48.4
Nov,39.74,49.2,5.11,34.36,42.15,10.18,8.79,23.67,49.82,13.88,119.53,29.68,4.7
Dec,2.35,9.93,0.59,5.21,16.57,0.0,2.79,0.0,22.07,2.89,0.0,17.27,0.3
