Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,16.29,20.91,0.0,13.78,38.13,15.48,3.68,37.9,16.42,25.8
Feb,3.9,11.59,0.0,0.52,0.72,0.0,0.1,0.79,2.33,0.0
Mar,0.0,2.58,9.6,0.1,2.35,9.08,0.0,0.39,6.64,4.5
Apr,67.85,2.96,26.49,11.4,8.45,3.48,0.39,13.09,8.71,1.2
May,66.7,30.81,29.35,58.49,69.07,45.15,81.39,90.12,49.14,46.5
Jun,40.3,21.59,19.96,0.0,27.6,33.74,35.87,25.76,37.15,96.5
Jul,23.69,58.67,10.31,58.2,67.47,55.8,59.19,42.81,53.43,25.0
Aug,82.34,93.63,41.29,99.09,123.11,92.01,154.39,151.16,107.43,74.3
Sep,163.11,107.7,50.15,25.9,92.2,99.29,99.6,105.3,106.39,22.6
Oct,170.71,145.08,56.88,165.95,129.31,119.67,120.35,208.37,122.61,200.2
Nov,163.47,141.81,40.56,143.63,172.19,149.79,125.59,172.43,151.49,297.9
Dec,23.88,108.67,48.11,88.1,93.2,67.92,90.78,109.46,69.27,20.2
