Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,25.94,33.92,1.62,101.05,35.43,3.41,20.57,31.7,12.95,23.59,30.68,20.3,14.7
Feb,20.31,36.5,0.31,3.27,0.0,2.73,0.0,25.01,9.0,0.0,0.0,26.54,17.0
Mar,25.75,30.01,4.17,27.78,60.22,21.93,57.39,35.27,14.21,50.71,57.79,22.1,15.3
Apr,25.41,24.63,18.01,83.0,41.36,20.88,71.1,28.75,23.34,69.72,0.0,21.69,96.0
May,28.1,47.61,68.59,6.93,222.03,65.58,0.0,102.9,73.93,0.0,236.2,74.06,56.3
Jun,139.37,162.85,90.91,158.38,161.84,66.17,163.09,157.76,107.35,161.24,156.66,120.39,140.8
Jul,327.52,316.3,0.0,369.57,497.51,0.0,357.29,472.09,0.0,360.35,488.97,0.0,571.7
Aug,334.29,328.1,0.0,211.46,336.06,261.87,204.04,311.49,274.9,213.17,287.67,273.01,578.2
Sep,167.31,177.55,100.62,138.79,249.92,111.36,52.54,198.69,125.37,141.41,135.85,127.73,202.0
Oct,13.89,34.29,0.0,0.74,32.78,9.88,0.0,12.61,7.73,0.0,58.13,4.25,0.8
Nov,0.64,5.56,0.62,0.0,0.58,0.0,0.02,0.02,8.19,0.17,0.67,0.0,10.8
Dec,4.46,11.99,0.0,25.15,15.12,0.0,36.52,40.09,11.74,35.81,41.76,0.0,0.0
