Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,19.98,16.08,4.79,18.4,16.4,8.37,22.48,13.89,13.12,23.11,1.07,21.39,1.6
Feb,12.4,14.64,0.84,17.1,12.28,2.49,22.42,11.48,19.12,20.55,12.67,14.79,17.0
Mar,1.06,9.12,2.63,0.0,8.43,0.0,14.0,0.0,0.0,14.72,0.0,11.95,0.0
Apr,3.63,7.62,1.65,3.03,12.35,0.0,5.92,14.93,4.2,6.87,49.87,4.21,44.9
May,19.7,36.83,51.11,24.85,38.77,39.38,44.78,40.86,22.65,45.45,41.42,34.4,48.1
Jun,131.41,129.93,88.7,125.95,140.1,94.3,105.24,123.67,60.21,106.05,155.58,78.77,102.1
Jul,281.94,316.28,0.0,280.71,316.52,0.0,0.0,205.07,0.0,77.78,238.76,0.0,491.0
Aug,316.52,298.11,85.54,307.74,296.04,35.36,225.52,207.95,225.28,227.3,216.57,226.3,565.4
Sep,202.75,204.06,111.95,203.18,204.09,126.26,178.22,161.12,116.83,174.51,175.71,124.61,77.3
Oct,32.86,48.78,6.17,40.88,48.54,14.19,45.36,70.26,17.1,45.64,93.73,43.28,0.0
Nov,0.41,3.56,0.0,0.41,4.6,0.0,0.0,3.7,15.79,0.04,0.0,6.63,0.0
Dec,1.55,6.59,0.06,1.25,6.2,0.0,0.04,0.65,0.0,0.09,2.56,7.25,0.0
