Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,16.01,18.09,0.0,33.31,17.68,14.8,42.29,38.47,6.33,1.6
Feb,11.02,9.98,5.27,19.13,24.65,12.69,14.76,19.11,16.13,17.0
Mar,2.22,1.93,0.87,7.57,10.33,8.5,2.55,9.43,0.0,0.0
Apr,4.99,7.76,22.87,22.4,29.01,0.0,20.53,27.44,11.99,44.9
May,15.94,21.79,30.12,113.9,77.81,13.16,80.1,80.95,40.45,48.1
Jun,58.42,69.42,69.13,148.25,126.78,33.22,143.83,100.24,101.24,102.1
Jul,198.53,246.75,114.27,508.31,334.4,266.86,286.43,320.61,296.06,491.0
Aug,286.15,298.41,114.68,188.89,233.39,229.66,287.49,218.58,234.95,565.4
Sep,218.76,218.79,65.31,151.32,160.49,145.8,159.28,159.08,150.26,77.3
Oct,57.67,63.82,36.39,0.0,40.2,45.27,33.78,87.92,42.9,0.0
Nov,1.95,4.21,8.6,1.81,5.4,17.24,0.89,5.31,0.0,0.0
Dec,2.02,9.11,2.21,0.0,0.0,2.75,1.23,11.09,5.67,0.0
