Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.37,15.0,5.71,4.36,13.66,13.94,3.35,6.49,19.08,2.03,3.81,12.52,0.0
Feb,9.72,19.41,2.06,3.5,10.78,0.0,0.92,5.89,0.0,1.23,4.02,8.28,23.3
Mar,12.38,17.31,0.74,11.39,17.74,7.11,6.11,15.45,0.0,9.57,20.38,11.04,0.1
Apr,8.36,12.86,0.0,13.14,15.88,5.32,39.02,19.08,8.05,23.51,19.39,12.04,9.6
May,7.68,12.66,0.0,8.31,13.0,19.84,1.86,15.49,0.0,4.24,27.43,8.55,2.0
Jun,158.27,167.08,91.9,172.68,166.34,102.9,219.27,109.71,94.58,204.86,88.21,106.89,142.8
Jul,415.94,419.1,0.0,410.94,399.59,0.0,374.24,410.53,0.0,379.21,493.95,0.0,407.9
Aug,339.83,373.07,0.0,375.38,372.53,0.0,297.13,302.45,152.68,293.78,310.03,144.81,330.7
Sep,200.04,225.64,159.54,201.77,227.3,164.79,181.85,166.15,158.2,157.83,155.84,159.78,101.4
Oct,25.64,53.41,21.82,26.75,54.73,27.08,8.65,66.76,43.04,10.43,68.53,44.49,5.2
Nov,1.82,10.63,0.0,1.94,10.82,17.68,0.0,3.02,7.93,0.0,2.26,6.18,0.0
Dec,1.68,9.46,0.0,1.97,8.72,0.0,0.0,0.0,10.81,0.0,0.0,0.59,16.3
