Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,10.42,15.66,7.5,0.48,0.0,14.84,0.0,0.0,0.2,0.0
Feb,10.7,12.01,9.99,2.7,4.2,0.0,0.0,7.77,2.21,23.3
Mar,4.59,9.42,10.4,2.4,0.36,0.0,3.41,4.11,6.31,0.1
Apr,8.37,11.05,0.0,0.22,9.19,15.0,5.75,6.25,3.36,9.6
May,3.67,9.16,10.19,38.96,10.73,0.0,9.01,11.27,7.91,2.0
Jun,200.03,194.25,57.32,72.11,108.53,78.54,69.49,83.63,88.11,142.8
Jul,431.84,490.7,125.46,473.52,379.58,365.75,441.73,357.77,373.44,407.9
Aug,351.52,453.28,100.49,282.8,272.74,277.44,291.71,329.9,281.42,330.7
Sep,344.92,331.11,60.82,266.5,172.17,162.06,164.42,150.14,157.8,101.4
Oct,24.42,45.48,18.44,0.0,49.58,37.74,28.38,50.24,40.84,5.2
Nov,1.4,12.72,0.0,0.1,0.0,10.25,0.0,0.0,14.64,0.0
Dec,4.39,9.46,0.0,0.84,4.22,7.21,8.1,10.35,0.0,16.3
