Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.4,12.92,0.0,1.8,14.65,5.79,0.0,23.1,7.23,0.0,0.0,12.16,0.0
Feb,34.45,34.39,0.0,39.46,29.83,3.57,13.62,23.66,14.1,13.35,27.14,11.36,0.4
Mar,14.09,29.52,7.57,11.75,23.47,45.78,16.23,8.77,65.91,15.39,101.78,0.0,5.9
Apr,48.59,55.49,13.49,51.73,56.4,30.78,93.9,71.79,41.33,96.05,105.06,40.28,164.9
May,122.55,101.06,133.99,125.41,103.28,126.19,204.22,155.22,136.97,208.29,126.91,137.3,154.7
Jun,242.46,233.12,120.73,235.07,246.52,126.21,197.41,197.49,148.44,179.11,175.65,148.02,287.6
Jul,320.52,289.75,315.88,297.63,323.58,317.95,276.22,436.32,0.0,326.81,431.7,0.0,330.4
Aug,354.53,337.6,0.0,355.66,299.52,0.0,250.72,486.8,213.42,260.11,724.68,211.69,323.8
Sep,268.09,265.5,194.93,269.13,286.94,198.86,217.05,267.22,206.24,212.0,271.2,209.72,338.5
Oct,169.41,152.18,170.61,153.62,150.0,169.36,211.26,204.29,161.36,207.43,265.29,161.53,259.7
Nov,2.31,20.14,0.0,4.85,15.05,16.27,34.35,22.92,24.8,30.59,0.0,31.39,0.0
Dec,0.47,5.03,0.0,0.58,4.47,0.0,15.69,12.27,0.0,20.82,17.83,4.9,8.0
