Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,1.62,0.19,0.0,3.42,0.0,0.33,3.55,2.88,0.0,0.0,1.44,0.0
Feb,0.1,1.4,0.0,1.15,3.56,0.0,0.43,3.82,3.53,0.57,1.17,1.63,0.0
Mar,0.1,2.31,0.6,0.11,0.9,0.0,0.1,0.49,4.26,0.11,0.43,0.03,0.0
Apr,0.1,0.99,0.0,4.66,4.9,0.0,6.89,5.82,0.0,2.89,2.13,3.22,0.0
May,0.22,5.59,0.11,0.0,7.71,0.0,0.21,0.0,10.01,0.0,0.0,5.91,0.0
Jun,63.86,60.51,35.34,0.0,66.65,40.77,6.45,69.11,57.15,18.99,37.34,53.36,32.1
Jul,144.64,89.51,635.55,88.99,178.73,516.89,167.57,0.0,0.0,159.62,0.0,0.0,123.0
Aug,124.18,156.91,61.91,122.37,147.83,69.3,200.31,58.38,133.72,201.34,37.0,122.61,54.3
Sep,54.45,91.37,11.82,52.3,135.28,27.87,10.52,234.47,64.67,9.7,239.5,55.58,5.1
Oct,0.66,9.49,0.72,8.7,19.79,0.0,2.51,29.36,25.05,2.06,0.0,21.93,0.0
Nov,0.08,3.77,0.71,0.1,9.98,0.0,0.01,12.48,4.18,0.1,6.76,15.53,0.0
Dec,0.1,1.04,0.0,0.07,0.64,4.05,0.0,0.2,0.0,0.0,0.46,0.0,0.0
