Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.61,3.25,0.0,0.0,0.0,0.0,5.93,7.8,2.23,3.16
Feb,1.34,4.58,17.26,8.64,0.77,4.46,5.1,2.59,6.12,3.86
Mar,12.88,16.33,3.0,0.7,4.69,0.0,0.0,0.0,4.34,11.28
Apr,37.64,60.17,27.41,21.3,35.31,26.76,3.99,33.24,44.85,51.34
May,138.24,148.6,43.68,132.2,115.56,80.44,122.79,113.73,93.14,125.69
Jun,82.85,81.31,14.83,39.87,72.94,78.1,80.23,61.94,72.77,81.88
Jul,90.16,98.34,16.72,63.8,77.53,68.58,69.61,32.92,78.74,96.61
Aug,53.02,117.29,22.16,123.24,96.13,97.9,96.08,68.17,94.74,100.16
Sep,131.41,130.47,17.52,166.92,35.55,128.66,103.84,57.49,137.37,125.57
Oct,184.38,164.04,60.32,20.57,93.15,74.43,87.72,85.74,84.36,161.74
Nov,45.19,73.11,23.8,71.58,67.74,85.31,62.0,62.88,88.72,67.26
Dec,12.02,15.57,12.24,16.12,19.96,15.91,16.4,20.46,15.9,15.89
