Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.07,12.49,0.8,9.94,13.08,6.14,29.54,13.99,6.52,29.22,63.63,5.06,0.0
Feb,10.52,20.35,0.33,4.24,14.8,12.64,7.55,13.82,18.84,7.61,6.91,22.15,0.0
Mar,12.38,15.3,0.0,12.58,14.36,0.0,0.0,0.0,3.91,0.0,0.0,0.0,2.7
Apr,6.35,16.17,18.13,5.45,18.34,28.8,4.5,1.66,2.06,2.48,0.0,0.0,8.0
May,32.76,45.6,35.73,64.53,53.24,51.9,92.94,0.0,34.77,92.75,0.0,50.8,52.9
Jun,161.13,194.46,70.36,148.74,211.21,90.43,69.67,170.22,84.71,72.91,171.08,83.24,165.2
Jul,305.72,316.51,0.0,324.3,353.39,66.41,321.06,277.17,0.0,303.47,184.73,0.0,406.2
Aug,284.78,293.31,60.63,267.75,229.23,123.74,308.07,245.02,215.0,230.38,217.73,215.78,309.7
Sep,201.12,229.63,203.97,210.2,192.22,210.07,140.92,292.29,170.21,118.08,308.27,169.72,71.5
Oct,50.89,85.18,80.55,54.18,104.17,82.9,157.87,74.86,62.07,156.92,49.32,62.7,30.5
Nov,0.93,5.6,0.36,0.75,6.16,0.0,0.0,0.0,6.0,0.0,0.0,7.13,0.0
Dec,0.1,2.07,0.0,0.1,1.83,2.08,0.0,0.0,0.0,0.0,0.0,7.1,6.6
