Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.2,13.31,0.14,0.0,0.0,0.0,0.0,0.0,8.49,0.0
Feb,13.37,0.0,29.31,0.1,4.09,18.27,4.56,2.22,7.71,0.1
Mar,27.57,0.0,3.74,31.41,19.07,14.59,23.23,22.84,9.27,9.1
Apr,45.45,48.47,1.88,31.36,57.26,0.0,41.44,72.51,38.27,149.6
May,72.83,81.23,23.95,196.6,159.44,66.24,198.84,188.25,94.72,76.5
Jun,156.69,131.88,72.71,135.85,129.79,120.07,156.89,122.98,134.12,235.0
Jul,289.31,255.31,95.67,574.3,463.09,268.23,493.34,413.34,284.51,328.9
Aug,304.31,240.15,106.74,366.05,327.87,246.37,329.56,317.52,264.82,315.4
Sep,218.47,161.3,62.93,214.54,167.23,182.59,191.33,139.62,184.18,151.0
Oct,57.11,77.39,39.43,12.8,0.0,80.66,24.09,0.0,88.78,27.6
Nov,6.76,7.7,19.93,4.72,10.39,6.34,9.14,2.7,5.05,0.5
Dec,1.32,3.97,0.0,0.86,2.98,0.0,2.36,8.14,2.6,40.6
