Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.1,7.73,0.0,4.9,7.25,0.0,0.0,7.14,10.06,0.0,0.0,11.59,0.0
Feb,17.83,17.86,0.0,11.12,12.67,0.27,6.2,8.9,0.0,3.46,3.24,8.14,2.3
Mar,22.76,19.33,1.17,23.58,13.34,0.0,7.71,11.55,9.17,10.65,12.97,7.43,0.2
Apr,40.94,24.91,0.52,39.86,30.13,11.38,59.65,29.94,2.06,36.85,9.58,0.0,9.5
May,23.87,24.94,6.34,2.21,27.34,0.56,28.37,47.5,0.0,28.04,116.22,15.05,58.9
Jun,151.41,182.91,214.02,178.37,209.8,215.37,108.49,165.34,209.12,122.27,164.19,210.02,145.2
Jul,326.86,353.29,0.0,330.38,338.81,0.0,302.87,349.67,0.0,304.54,264.46,0.0,481.2
Aug,398.2,391.18,0.0,389.53,363.18,0.0,364.24,349.55,0.0,336.37,361.73,0.0,389.0
Sep,206.99,210.05,106.34,203.54,212.82,113.09,285.83,368.39,98.97,284.63,368.32,131.87,177.8
Oct,48.87,51.02,39.78,53.97,53.21,47.75,52.05,57.29,52.28,52.47,0.0,50.13,7.9
Nov,3.24,8.06,0.0,2.86,6.46,0.0,0.1,0.21,10.18,0.11,0.22,0.28,0.0
Dec,0.11,2.51,0.05,1.62,3.06,9.6,1.3,6.73,9.62,0.41,2.73,0.0,84.9
