Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.86,8.45,20.02,22.71,0.0,0.0,42.24,0.0,0.0,0.0
Feb,19.26,0.09,18.06,4.27,6.17,0.0,3.0,2.51,2.49,2.3
Mar,9.19,0.0,14.06,0.0,0.06,8.67,0.0,0.11,10.11,0.2
Apr,8.9,2.46,10.67,28.4,21.54,0.7,26.62,26.45,15.06,9.5
May,3.14,7.46,0.0,31.53,33.05,28.82,18.81,33.73,16.52,58.9
Jun,108.85,124.57,57.29,313.8,187.4,110.88,217.33,192.12,153.34,145.2
Jul,269.38,308.6,140.1,288.6,298.34,287.69,253.68,289.8,300.38,481.2
Aug,302.54,336.3,130.05,27.71,216.67,276.35,254.61,179.01,280.88,389.0
Sep,163.27,192.67,86.15,295.81,247.25,206.36,229.48,263.85,211.92,177.8
Oct,40.82,40.96,14.08,29.79,31.84,60.69,22.34,30.76,56.05,7.9
Nov,0.53,15.08,6.89,0.0,31.17,17.41,0.0,23.96,19.5,0.0
Dec,1.08,1.85,7.73,7.38,4.88,0.0,7.28,6.13,5.62,84.9
