Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.14,1.52,0.0,0.1,0.0,0.8,0.0,0.0,2.13,0.7
Feb,0.12,1.19,4.21,0.0,0.29,0.0,0.0,0.97,9.03,0.0
Mar,3.25,9.6,0.0,24.23,19.67,0.0,19.15,20.64,11.41,16.7
Apr,24.95,28.5,4.16,149.2,35.44,2.06,28.16,47.84,12.12,65.8
May,86.4,38.43,35.66,117.1,79.7,39.07,85.44,85.66,58.48,51.2
Jun,87.76,90.3,10.66,58.8,63.4,33.23,57.3,58.12,53.34,69.9
Jul,99.86,15.39,45.23,61.19,43.27,57.56,48.3,42.75,52.03,28.3
Aug,0.0,128.81,48.13,165.3,3.19,119.98,95.51,82.92,123.54,89.3
Sep,95.32,116.86,36.75,64.11,72.4,107.68,81.84,82.55,112.44,179.8
Oct,56.88,74.8,54.68,38.4,76.38,91.62,99.52,60.22,112.03,91.0
Nov,22.71,44.65,15.92,82.06,71.3,51.47,55.06,34.98,65.39,4.9
Dec,5.73,11.27,0.0,7.0,9.29,2.44,0.39,0.0,8.09,0.3
