Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,16.87,19.24,5.71,1.31,10.05,0.0,8.29,11.26,4.23,0.0
Feb,4.91,4.35,7.5,4.1,9.02,0.0,6.99,2.75,0.0,0.0
Mar,5.24,0.08,18.53,0.52,3.38,0.0,0.47,3.41,0.0,13.5
Apr,13.75,17.1,27.35,27.01,32.88,32.43,40.71,46.32,10.71,35.5
May,41.54,55.5,40.3,202.7,108.36,48.96,212.34,179.0,89.45,49.3
Jun,80.83,84.03,53.99,107.08,106.54,63.47,100.22,125.8,77.69,156.0
Jul,194.29,216.07,131.5,264.26,314.46,238.46,300.63,317.33,256.51,338.3
Aug,216.96,173.41,83.85,202.98,198.52,206.97,190.93,202.68,220.96,345.9
Sep,156.4,137.69,88.62,160.3,181.51,163.44,164.42,181.25,178.3,83.3
Oct,54.52,74.46,24.29,0.0,60.72,77.23,9.12,66.69,85.36,61.6
Nov,6.52,6.25,0.0,0.0,9.79,17.61,0.0,5.4,6.7,0.0
Dec,0.2,2.6,17.93,0.16,0.9,0.0,0.42,3.05,0.91,13.0
