Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,4.9,10.38,1.19,4.53,9.67,0.0,1.38,1.0,0.0,0.46,9.03,9.25,0.0
Feb,7.98,20.0,0.0,5.83,9.19,2.47,10.2,11.62,7.79,8.47,11.19,5.43,20.7
Mar,11.24,15.97,0.0,14.47,18.88,0.0,0.0,20.18,6.76,0.0,18.17,13.85,0.0
Apr,14.22,17.53,0.0,9.3,21.06,3.76,29.24,44.07,6.28,33.18,48.76,13.05,16.4
May,9.81,16.74,4.47,15.87,17.01,13.38,14.96,17.8,12.72,15.93,22.73,9.52,0.0
Jun,166.09,183.14,88.42,169.25,184.14,90.5,149.09,158.83,89.54,151.51,50.81,121.71,203.7
Jul,340.78,366.75,0.0,335.7,363.19,0.0,429.4,410.73,0.0,433.02,518.12,0.0,385.4
Aug,346.42,335.62,0.0,365.59,333.86,0.0,220.46,305.4,0.0,221.27,276.87,0.0,370.4
Sep,165.08,191.24,97.18,172.18,191.17,103.83,241.3,198.54,129.04,224.77,198.51,131.9,61.3
Oct,40.44,50.38,21.04,38.48,50.58,38.61,69.22,73.74,47.26,66.63,75.24,47.79,0.0
Nov,1.22,8.63,0.0,1.4,8.68,11.54,0.0,0.0,0.0,0.0,0.0,5.06,0.0
Dec,0.22,8.04,0.1,0.23,6.65,9.44,0.49,0.0,0.0,1.8,1.24,1.2,12.3
