Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,10.33,12.09,2.64,11.33,11.87,0.0,5.83,23.0,22.0,1.27,17.83,3.47,0.0
Feb,3.9,7.27,0.76,0.8,4.94,0.0,0.26,0.0,12.94,1.09,0.17,14.05,3.4
Mar,1.75,6.12,0.25,0.93,5.55,10.71,0.35,0.0,8.51,1.38,0.0,10.26,0.0
Apr,0.9,3.06,0.0,1.86,3.66,3.01,5.58,7.83,0.0,1.37,9.31,1.59,0.0
May,5.95,7.99,9.04,6.26,10.36,19.33,6.79,29.27,0.0,6.54,12.85,13.49,29.9
Jun,57.19,63.49,37.07,54.5,63.76,48.77,52.67,72.06,27.5,52.67,91.52,36.12,68.6
Jul,259.34,271.04,148.72,285.65,281.16,156.97,231.25,201.22,154.82,229.34,200.72,155.67,479.7
Aug,174.78,230.1,77.77,179.29,237.32,97.83,207.29,177.65,106.8,221.7,201.38,113.02,148.1
Sep,172.47,144.73,76.66,162.1,132.16,92.37,34.25,73.48,101.64,33.26,69.68,95.97,220.3
Oct,6.13,21.18,0.5,4.59,16.19,23.32,33.58,47.91,14.37,32.89,0.0,29.04,0.0
Nov,0.2,8.16,0.27,0.63,8.66,0.0,0.31,4.26,13.11,0.0,5.8,5.61,0.0
Dec,1.42,6.29,4.79,1.43,6.43,0.0,3.73,6.29,10.25,3.03,6.17,0.0,1.0
