Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,6.44,10.97,2.97,0.1,5.25,0.0,6.15,8.64,7.6,0.0
Feb,1.79,4.06,17.8,1.69,5.81,0.0,0.0,4.88,21.11,3.4
Mar,0.0,0.0,22.72,0.54,0.0,0.0,0.0,0.0,0.0,0.0
Apr,0.92,0.91,10.48,0.9,3.78,0.0,1.08,6.22,10.91,0.0
May,2.36,5.02,11.98,0.0,20.22,0.0,4.0,20.03,16.28,29.9
Jun,26.81,35.66,32.06,46.83,72.43,14.01,81.73,71.45,51.33,68.6
Jul,179.77,172.46,86.18,205.1,187.45,126.02,205.75,167.37,159.11,479.7
Aug,188.49,174.34,113.29,263.3,185.24,157.18,189.35,195.04,166.23,148.1
Sep,157.75,163.9,45.11,142.41,135.27,106.62,139.84,218.79,120.69,220.3
Oct,4.37,10.45,0.0,0.0,22.62,7.54,0.0,24.85,18.62,0.0
Nov,0.34,7.64,13.11,1.74,4.78,0.0,1.53,5.48,12.53,0.0
Dec,1.53,6.91,9.08,6.68,6.5,0.0,22.74,30.96,11.88,1.0
