Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,4.33,11.61,2.02,5.01,11.03,0.0,11.11,7.6,7.19,9.55,5.82,4.18,0.0
Feb,18.43,22.93,0.0,16.5,17.34,21.59,17.57,16.88,15.53,14.2,17.5,5.75,0.5
Mar,14.3,29.61,0.0,15.24,32.23,25.1,0.0,3.14,7.36,0.0,0.0,12.53,0.8
Apr,25.4,35.42,16.56,26.15,33.7,26.11,72.4,23.19,27.33,67.34,17.64,19.15,51.5
May,60.12,86.24,122.41,71.06,98.93,110.78,77.09,82.55,89.91,76.92,51.57,95.48,62.6
Jun,191.68,239.13,123.8,200.12,242.98,137.5,170.72,186.41,166.63,171.42,181.32,162.72,138.3
Jul,267.79,340.7,19.67,328.08,398.19,0.0,984.63,488.72,0.0,466.85,488.68,0.0,258.3
Aug,313.22,314.25,0.0,303.89,261.84,0.0,368.17,322.79,217.76,276.89,362.06,220.98,159.7
Sep,235.89,238.68,140.05,233.81,237.3,153.74,143.61,206.26,148.54,131.08,206.02,151.61,170.0
Oct,87.89,105.17,143.91,100.76,101.25,141.77,35.47,119.35,71.22,35.38,43.94,77.86,37.4
Nov,2.4,7.1,2.01,3.05,8.58,16.78,8.72,7.28,13.8,7.96,0.0,12.74,0.0
Dec,0.6,2.92,0.0,0.48,3.71,0.0,1.49,10.42,14.71,4.99,12.08,11.25,25.3
