Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,9.91,10.84,1.24,18.09,10.49,7.7,8.2,12.67,11.62,2.0
Feb,0.52,5.73,0.0,1.73,9.93,0.0,0.55,13.3,24.27,3.0
Mar,4.81,0.0,2.86,3.19,0.0,0.0,6.23,0.0,14.54,0.0
Apr,0.76,0.49,13.01,1.5,8.59,16.57,11.26,7.89,20.18,0.0
May,2.2,1.58,19.02,7.9,16.64,17.29,15.71,15.95,0.0,5.3
Jun,23.59,24.76,20.02,52.63,54.83,8.34,47.1,57.22,25.53,13.7
Jul,163.52,142.56,63.76,124.7,115.27,100.19,89.37,122.26,120.62,232.2
Aug,274.9,264.42,63.05,222.13,173.05,142.74,169.69,170.62,155.05,108.9
Sep,191.71,163.06,30.98,41.6,95.72,81.86,44.55,116.57,85.22,101.2
Oct,1.58,10.86,14.15,0.0,19.93,17.31,0.0,30.38,14.01,0.0
Nov,0.36,4.14,14.9,21.45,13.78,0.82,25.37,14.08,11.85,2.0
Dec,0.14,5.21,18.25,4.84,2.0,0.0,7.43,7.27,0.0,0.0
