Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.79,5.75,13.59,3.74,0.0,5.92,2.33,0.08,4.68,0.0
Feb,1.33,5.03,0.0,0.1,2.59,14.3,0.08,4.06,0.0,6.0
Mar,3.55,12.73,0.0,12.3,21.27,0.0,1.98,17.01,22.99,0.2
Apr,3.61,8.7,15.81,3.37,1.43,12.0,1.08,0.68,0.0,0.0
May,9.16,13.44,23.1,8.3,0.0,9.17,0.0,0.0,9.21,0.0
Jun,167.65,146.14,37.5,112.59,116.93,88.04,118.94,109.44,107.88,97.2
Jul,227.68,228.45,70.81,232.32,198.31,189.41,188.05,218.66,195.27,160.2
Aug,208.57,191.86,38.28,81.88,181.63,167.93,167.27,143.29,173.71,175.5
Sep,187.41,235.16,59.48,151.21,146.57,117.98,160.06,214.88,117.49,39.0
Oct,55.64,62.7,15.07,34.09,45.03,38.6,0.0,50.99,34.99,0.0
Nov,3.73,23.69,4.6,0.0,17.72,31.32,0.06,13.11,27.43,13.3
Dec,3.62,6.83,14.49,0.0,3.64,0.0,0.0,6.97,13.09,0.0
