Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.8,11.22,1.15,2.96,11.6,2.78,0.0,3.84,0.0,0.0,0.0,6.83,0.0
Feb,21.77,25.24,0.56,21.83,20.12,4.26,4.37,15.86,0.0,4.61,13.74,2.38,0.1
Mar,21.71,33.92,22.82,21.38,34.23,7.28,3.12,14.69,8.24,4.98,14.66,21.53,15.1
Apr,43.64,44.07,5.86,43.11,42.69,27.81,54.84,43.68,23.97,52.73,37.65,24.21,82.6
May,79.55,93.08,134.47,80.3,112.49,134.52,88.65,105.04,106.92,72.84,85.82,109.39,43.5
Jun,240.32,228.46,205.46,234.43,256.96,211.06,259.96,234.0,234.46,260.14,239.03,234.8,158.1
Jul,266.87,304.36,50.74,295.02,339.77,75.36,100.2,366.49,0.0,104.18,394.26,0.0,329.7
Aug,314.37,318.9,1413.04,313.47,274.02,0.0,305.03,402.94,193.44,288.08,454.7,100.88,174.7
Sep,219.06,247.62,151.41,219.83,247.36,152.49,195.99,210.73,163.09,206.78,203.08,159.17,154.3
Oct,30.54,94.75,179.56,25.96,94.28,171.09,64.79,69.39,71.85,69.22,49.54,77.6,16.0
Nov,1.6,7.88,0.0,4.32,7.8,0.86,10.36,5.31,0.36,12.26,4.61,7.5,0.0
Dec,0.16,3.38,2.66,0.47,3.84,3.25,5.86,9.93,0.0,6.37,9.38,13.67,26.7
