Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,6.39,19.38,0.0,2.24,0.0,23.92,1.29,0.0,23.91,3.4
Feb,11.61,32.36,12.52,11.2,24.18,7.66,14.7,17.9,8.88,14.5
Mar,28.63,64.34,34.43,57.58,111.78,63.4,89.31,117.53,91.58,133.3
Apr,255.57,201.49,74.31,192.94,297.25,260.46,221.47,229.02,298.52,212.8
May,311.68,402.06,147.79,318.59,443.9,379.16,443.25,402.31,402.17,387.8
Jun,691.23,328.44,227.29,513.23,485.2,447.23,533.19,535.37,465.42,546.3
Jul,521.8,378.55,199.28,333.13,414.91,402.99,466.9,391.94,411.46,342.0
Aug,512.25,395.85,162.39,514.29,480.3,440.05,494.83,513.12,452.09,363.1
Sep,342.35,298.29,116.18,222.5,228.88,330.3,269.21,0.0,339.93,400.5
Oct,298.82,241.68,46.29,281.3,193.1,155.57,185.38,349.85,164.46,122.5
Nov,12.39,50.69,29.36,0.0,83.31,43.08,9.9,146.43,44.42,14.6
Dec,3.86,15.88,8.29,146.75,94.55,36.87,34.42,204.34,40.34,30.8
