Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,36.13,35.55,1.06,117.64,30.24,11.07,130.93,36.68,26.44,135.6,28.64,25.56,29.3
Feb,38.27,42.29,3.26,20.64,3.9,15.97,27.05,57.98,26.54,27.18,18.58,30.13,24.0
Mar,30.51,40.63,53.89,63.18,59.66,54.26,0.0,63.82,50.29,33.61,64.95,58.66,49.6
Apr,43.68,27.22,0.0,91.1,0.0,23.38,60.18,16.55,55.83,91.72,0.0,49.12,90.9
May,17.03,45.7,85.17,104.12,123.25,98.45,112.28,102.24,64.93,114.98,119.79,94.82,71.3
Jun,100.62,138.72,144.29,192.6,241.27,103.66,196.41,202.71,115.73,197.07,244.78,120.19,202.0
Jul,324.81,306.77,0.0,446.15,466.63,0.0,450.78,468.41,0.0,438.64,458.89,0.0,396.3
Aug,245.38,274.62,144.98,353.75,352.13,0.0,355.67,344.48,0.0,353.35,345.22,0.0,454.6
Sep,121.5,154.93,137.77,149.21,132.94,149.42,155.96,0.0,147.74,145.69,0.0,150.51,185.7
Oct,14.18,31.63,0.0,8.08,30.84,0.0,0.0,8.81,11.18,0.0,9.11,11.57,0.5
Nov,1.2,8.5,0.0,0.86,23.34,0.0,1.12,11.67,6.19,1.23,14.07,3.85,36.9
Dec,10.7,15.55,8.18,0.0,5.83,11.86,0.39,24.63,12.44,8.0,16.39,7.72,2.5
