Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,25.55,3.11,3.85,27.94,49.28,0.0,0.0,25.27,2.94,29.3
Feb,73.15,46.53,0.0,17.18,46.47,11.18,20.45,52.23,17.4,24.0
Mar,81.33,72.25,7.47,68.06,102.2,15.65,73.12,101.35,18.57,49.6
Apr,97.33,55.9,0.0,138.0,67.45,25.78,76.85,66.71,27.02,90.9
May,0.0,87.72,0.0,44.01,40.96,16.06,0.0,30.83,27.72,71.3
Jun,238.68,195.87,15.88,34.23,53.52,119.4,102.97,117.79,130.13,202.0
Jul,361.06,446.46,57.89,371.44,455.61,305.57,414.46,430.67,317.28,396.3
Aug,369.3,363.08,41.82,320.24,370.78,288.85,369.3,347.26,289.12,454.6
Sep,102.71,139.71,21.01,226.53,154.2,112.22,202.24,204.31,110.5,185.7
Oct,18.2,30.43,2.56,0.0,0.0,14.34,0.0,10.47,19.73,0.5
Nov,1.0,16.86,0.0,2.61,0.0,0.0,3.02,0.0,4.21,36.9
Dec,0.0,12.49,0.0,0.0,5.92,7.77,21.57,6.79,0.0,2.5
