Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,24.16,24.54,12.33,47.82,47.47,17.92,42.59,36.94,30.8,40.19,39.75,31.71,16.5
Feb,18.6,25.21,0.28,5.57,7.85,12.33,7.52,16.66,12.91,7.32,0.0,13.12,6.0
Mar,15.94,19.94,8.61,14.83,58.85,1.0,12.03,4.6,31.61,15.35,32.94,30.92,12.5
Apr,13.05,13.92,0.59,44.92,11.13,0.0,12.27,13.46,21.15,9.02,1.08,2.66,45.0
May,27.23,34.45,48.86,8.81,59.48,44.35,14.0,49.04,28.44,13.84,55.08,34.14,31.5
Jun,143.8,169.22,99.29,130.48,179.09,63.44,146.21,186.45,83.2,148.99,176.28,115.69,146.3
Jul,303.04,363.7,0.0,558.34,388.98,0.0,564.23,435.1,0.0,557.64,365.26,0.0,394.8
Aug,335.52,354.97,0.0,205.7,254.62,0.0,206.53,347.9,0.0,205.41,151.24,0.0,606.0
Sep,182.62,202.98,115.16,164.51,292.4,99.66,164.44,325.9,181.53,165.0,333.91,172.63,361.9
Oct,24.07,43.9,1.55,35.83,32.71,0.0,31.13,63.87,60.56,31.4,11.99,51.79,4.0
Nov,0.41,4.03,0.0,0.14,0.0,9.52,0.17,24.65,12.0,0.0,0.0,14.88,10.5
Dec,2.7,8.86,0.0,4.54,6.64,3.88,4.41,15.35,0.0,4.96,7.92,1.3,0.5
