Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,116.92,24.37,8.62,6.1,40.73,8.81,34.36,25.8,15.85,16.5
Feb,18.39,24.2,5.83,21.0,32.53,13.73,15.25,25.41,15.4,6.0
Mar,18.34,34.68,0.0,7.69,40.91,23.19,5.73,39.81,21.6,12.5
Apr,13.04,19.09,15.8,25.82,22.64,18.14,27.96,22.8,8.02,45.0
May,3.51,46.43,0.0,10.18,41.35,25.76,13.96,33.79,31.75,31.5
Jun,160.86,244.39,68.33,135.77,243.04,165.47,149.26,244.45,187.86,146.3
Jul,393.82,464.71,132.49,404.8,496.0,457.09,455.3,405.88,463.67,394.8
Aug,243.82,333.72,92.94,386.4,500.03,399.44,412.06,236.17,397.2,606.0
Sep,138.4,263.71,58.51,166.6,207.06,187.39,152.67,266.65,190.78,361.9
Oct,89.34,104.09,14.13,132.18,122.53,58.74,76.15,110.26,74.21,4.0
Nov,0.0,25.07,5.84,0.0,26.41,23.33,0.0,28.32,22.13,10.5
Dec,0.0,5.41,9.55,0.0,8.55,0.0,1.32,6.78,2.09,0.5
