Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,1.8,7.37,5.27,10000,10000.0,10000.0,10000,10000.0,10000.0,
Feb,3.7,20.39,6.79,10000,10000.0,10000.0,10000,10000.0,10000.0,
Mar,9.47,26.89,14.33,10000,20.17,36.31,10000,4.17,27.89,
Apr,200.51,0.0,52.24,10000,24.76,42.29,10000,118.41,52.64,
May,332.1,358.77,87.37,10000,10000.0,10000.0,10000,10000.0,10000.0,
Jun,296.63,298.42,154.86,10000,10000.0,10000.0,10000,10000.0,10000.0,
Jul,347.24,289.13,142.91,10000,10000.0,10000.0,10000,10000.0,10000.0,257.8
Aug,412.65,195.21,152.55,10000,150.65,69.04,10000,178.21,70.55,322.7
Sep,178.76,150.5,104.31,10000,10000.0,10000.0,10000,10000.0,10000.0,120.8
Oct,181.48,179.53,43.26,10000,10000.0,10000.0,10000,10000.0,10000.0,80.0
Nov,1.34,40.18,11.44,10000,10000.0,10000.0,10000,10000.0,10000.0,0.0
Dec,5.77,7.65,0.0,10000,10000.0,10000.0,10000,10000.0,10000.0,18.0
