Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,29.33,18.43,49.35,67.0,0.0,5.5,54.52,0.0,66.64,69.58,0.0,24.86,8.1
Feb,16.66,24.57,0.0,2.74,8.17,1.43,0.0,21.04,15.75,0.0,0.0,10.59,47.2
Mar,12.93,21.17,4.8,6.95,36.6,19.67,0.0,1.43,16.55,0.0,0.0,28.87,4.2
Apr,6.28,12.01,1.03,18.92,27.97,21.38,9.48,21.68,3.84,12.04,35.41,1.58,36.2
May,9.99,16.99,0.0,17.61,29.41,0.0,17.41,15.89,0.0,13.48,19.4,0.0,13.0
Jun,66.36,70.57,63.51,93.58,89.06,70.02,107.94,89.58,62.59,108.43,92.47,76.33,142.9
Jul,164.54,192.87,165.07,284.92,227.53,175.28,302.53,227.78,187.23,273.12,244.14,186.23,263.6
Aug,157.95,196.5,257.27,276.26,165.35,293.62,266.56,0.0,257.35,266.15,0.0,258.29,291.0
Sep,71.49,104.6,100.15,47.54,129.28,108.96,34.24,122.64,108.22,36.29,119.12,108.55,295.8
Oct,2.54,9.46,0.28,8.79,9.23,10.02,8.4,6.24,0.0,8.32,5.8,18.94,10.7
Nov,0.6,4.03,0.16,0.28,2.68,12.11,0.14,1.45,0.0,0.72,4.69,5.13,7.7
Dec,8.7,9.78,0.0,21.96,23.99,4.1,18.66,20.63,10.21,18.95,20.73,8.97,6.3
