Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,4.87,9.03,22.82,8.9,9.48,11.51,19.14,31.39,0.02,0.0
Feb,2.41,6.08,22.79,0.0,4.17,0.0,0.0,6.39,4.31,34.5
Mar,0.94,5.31,5.31,9.51,11.5,5.57,0.0,14.19,29.42,1.7
Apr,3.38,6.7,0.0,13.85,9.23,12.13,4.88,9.41,0.0,2.1
May,6.52,4.98,11.95,20.53,16.81,8.9,19.24,16.93,0.0,21.3
Jun,146.64,159.73,66.41,76.15,187.39,118.21,89.6,186.89,153.52,175.2
Jul,415.0,381.08,106.21,401.96,383.44,364.1,435.48,473.09,378.17,469.6
Aug,340.21,355.77,103.17,357.9,308.9,273.63,365.04,290.44,275.62,320.3
Sep,231.01,242.98,47.98,143.3,220.26,206.5,232.06,431.03,210.13,117.1
Oct,17.28,47.15,5.41,56.84,44.62,51.96,61.63,49.12,57.05,0.0
Nov,5.12,18.81,11.57,0.25,5.38,22.86,0.0,5.35,18.45,0.0
Dec,0.1,3.05,8.91,6.88,5.58,0.0,2.82,0.0,12.66,12.0
