Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.17,2.51,0.0,0.0,1.43,0.0,0.0,1.56,1.32,0.7
Feb,2.48,1.43,3.87,19.39,4.26,11.79,0.77,0.46,0.0,1.3
Mar,0.0,21.77,0.0,11.22,20.74,3.44,10.47,0.66,27.44,6.5
Apr,16.99,49.36,14.29,79.7,61.52,60.53,81.06,71.1,61.08,15.6
May,110.82,127.14,43.61,177.2,127.22,97.46,134.06,118.77,100.82,94.1
Jun,308.65,449.61,141.89,389.3,245.23,230.21,237.36,245.44,237.25,313.9
Jul,851.51,901.88,190.75,794.61,579.16,554.0,540.23,528.46,554.94,402.6
Aug,290.2,497.98,97.42,412.25,348.92,319.57,366.34,360.84,325.41,243.5
Sep,199.47,210.95,40.54,172.95,187.99,203.08,209.39,3.79,208.82,106.3
Oct,158.09,178.53,44.11,139.0,91.02,118.18,134.13,94.6,122.01,23.5
Nov,29.34,68.43,16.22,0.0,0.0,66.74,15.94,36.81,63.94,13.4
Dec,1.29,16.51,15.63,9.1,0.0,16.12,0.69,0.0,10.53,20.1
