Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,11.43,14.64,17.44,0.0,0.0,0.0,0.0,1.63,0.61,0.0
Feb,6.99,15.3,2.44,2.0,10.28,13.01,7.23,14.29,11.54,81.9
Mar,20.86,26.22,0.0,0.28,4.05,16.33,1.41,9.48,0.0,0.0
Apr,17.21,13.7,0.0,0.1,11.78,0.0,3.02,9.82,7.92,26.5
May,7.5,13.86,0.0,0.0,12.54,16.29,0.16,11.3,21.88,2.9
Jun,153.31,192.27,42.58,129.59,149.17,93.31,123.31,132.06,108.6,265.5
Jul,408.85,413.57,84.58,265.74,325.59,332.0,299.16,397.91,335.18,191.2
Aug,331.53,347.02,84.53,0.0,245.16,240.09,200.52,204.48,240.49,109.5
Sep,192.19,323.96,54.66,196.2,159.67,152.4,149.73,0.0,152.05,77.1
Oct,82.39,61.26,22.54,0.38,36.16,32.01,44.3,47.48,37.49,0.0
Nov,1.26,22.5,0.0,2.0,13.2,17.99,5.44,13.03,18.74,0.0
Dec,22.43,10.69,19.92,0.0,6.52,0.0,0.0,4.25,7.47,8.7
