Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.13,1.54,0.0,0.02,0.0,2.65,0.01,0.0,0.0,0.0
Feb,0.2,1.81,0.0,1.67,0.0,3.18,0.54,0.0,4.45,1.6
Mar,1.13,7.3,5.3,1.38,0.0,0.0,12.5,5.35,0.0,30.7
Apr,38.11,36.62,30.59,54.0,24.34,11.95,59.2,30.84,27.95,14.8
May,92.09,80.74,43.74,142.3,90.95,68.05,95.62,79.14,89.71,88.1
Jun,94.64,95.29,20.12,43.12,54.39,45.27,43.94,61.73,54.13,68.5
Jul,85.41,106.24,56.32,60.05,62.9,57.25,59.13,28.22,58.96,42.7
Aug,71.94,105.03,25.76,67.9,88.1,101.36,103.79,56.94,103.9,47.0
Sep,81.36,111.85,30.04,0.0,87.44,105.66,136.16,121.28,111.86,37.9
Oct,219.83,93.08,31.36,30.75,73.99,76.84,0.0,71.39,82.23,95.9
Nov,73.62,53.12,19.16,24.81,17.94,41.39,3.07,41.58,39.07,25.0
Dec,1.73,10.24,23.25,6.01,3.22,4.14,0.8,1.84,4.83,0.3
