Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.07,4.98,0.0,0.84,4.88,0.0,10.72,0.0,22.01,18.82,0.0,3.15,0.6
Feb,5.75,8.3,0.62,5.32,7.68,14.95,5.42,8.58,10.76,6.88,7.39,11.16,0.1
Mar,2.18,5.59,0.0,2.23,5.77,0.0,0.0,0.0,1.92,0.06,0.0,11.63,1.1
Apr,1.53,8.68,0.0,4.68,8.8,0.8,9.22,8.82,3.03,11.79,11.03,5.93,5.2
May,4.67,17.08,26.73,5.78,20.82,11.4,3.48,18.25,10.0,28.65,19.48,19.41,14.2
Jun,17.65,39.09,47.54,53.03,40.45,29.3,0.0,31.81,37.42,0.0,31.96,51.22,90.4
Jul,100.55,116.9,85.26,102.31,118.04,88.59,148.34,110.25,106.76,147.51,123.7,109.41,146.3
Aug,42.88,103.64,49.37,69.0,116.64,64.09,205.54,150.85,61.86,200.82,150.74,88.57,46.9
Sep,33.85,46.69,16.32,38.02,49.12,36.22,36.27,33.6,24.35,36.71,43.18,28.48,40.9
Oct,1.28,4.8,0.0,1.78,4.14,5.09,15.38,0.0,4.2,15.21,9.47,0.0,0.3
Nov,3.03,3.78,0.0,0.47,3.87,0.0,7.9,0.0,1.38,15.22,0.0,0.0,0.9
Dec,1.8,3.7,0.0,2.14,3.95,8.48,0.0,0.0,1.57,0.0,0.0,14.81,0.0
