Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.2,10.08,0.0,0.0,4.06,17.07,2.99,4.13,9.51,0.0
Feb,9.51,8.12,0.0,14.44,13.37,16.62,25.33,15.9,18.48,2.6
Mar,7.75,19.62,0.0,55.68,36.72,0.0,59.01,39.29,24.71,35.3
Apr,88.56,89.79,12.7,99.81,136.45,99.88,138.68,79.32,111.87,130.2
May,255.24,262.62,100.9,271.87,302.27,262.07,263.49,109.63,278.41,270.4
Jun,328.82,382.66,146.8,497.56,494.38,513.56,492.45,178.32,531.31,474.0
Jul,598.14,336.2,167.4,447.69,311.56,434.0,272.76,211.08,454.62,470.5
Aug,335.09,289.55,166.2,1485.88,461.87,416.35,360.34,760.11,435.48,351.5
Sep,310.83,307.62,103.09,322.76,417.84,350.2,339.69,396.5,357.58,313.0
Oct,264.38,168.02,37.3,174.52,99.17,120.87,184.07,238.73,117.36,22.8
Nov,3.17,8.11,5.2,7.11,9.18,9.53,0.0,18.05,0.67,0.0
Dec,0.57,6.38,7.05,0.0,8.39,4.58,4.25,22.81,2.34,5.1
