Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.98,1.01,0.0,0.81,1.27,12.11,0.32,3.37,0.01,0.36,3.22,2.79,0.0
Feb,0.15,2.96,0.0,0.13,2.46,9.21,0.1,4.62,0.9,0.13,6.77,5.38,2.2
Mar,3.76,6.65,3.48,2.06,4.54,3.47,6.44,4.23,5.71,3.7,1.43,2.73,56.1
Apr,13.89,25.02,0.0,30.55,34.59,21.14,35.42,26.82,7.32,32.89,23.75,28.46,4.3
May,56.1,61.7,18.78,47.23,78.27,27.66,33.88,73.38,42.77,33.65,82.41,49.54,34.8
Jun,32.17,57.13,46.28,42.35,81.13,56.64,101.61,131.55,94.28,100.29,134.28,98.75,34.8
Jul,57.98,68.82,28.41,62.78,120.37,47.53,135.89,35.73,59.89,135.99,20.19,65.8,15.5
Aug,38.12,90.79,161.95,0.0,158.32,146.94,305.7,0.0,133.34,311.58,0.0,134.23,58.1
Sep,121.83,151.57,140.19,131.49,177.82,146.41,0.0,25.73,100.28,52.28,116.97,110.2,94.7
Oct,143.03,120.35,172.0,113.31,128.5,165.2,88.66,33.64,110.56,86.86,39.1,117.44,37.6
Nov,75.01,76.93,19.85,59.18,94.75,25.43,9.58,133.83,87.3,41.7,134.01,93.46,33.3
Dec,10.22,18.23,0.0,8.22,21.36,0.0,5.44,15.98,9.15,5.93,38.88,8.99,5.3
