Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,1.29,1.09,0.0,14.38,9.3,0.84,11.45,11.12,7.8,0.0
Feb,0.12,3.2,8.13,7.47,0.0,5.74,0.0,0.0,0.89,2.2
Mar,5.27,2.62,0.0,7.01,0.54,15.82,5.03,4.93,0.0,56.1
Apr,49.57,11.76,31.62,21.55,28.57,0.0,12.71,33.97,17.69,4.3
May,26.93,38.79,8.73,24.53,49.16,34.2,22.96,59.45,53.73,34.8
Jun,51.3,70.26,7.46,50.95,95.01,53.44,74.78,104.38,90.28,34.8
Jul,49.34,86.18,4.75,38.1,106.28,75.3,52.57,134.43,100.96,15.5
Aug,139.74,103.59,34.73,157.44,132.25,112.6,151.1,267.48,129.2,58.1
Sep,29.29,80.89,52.15,235.04,184.51,114.13,148.69,230.16,125.66,94.7
Oct,90.76,64.43,29.95,31.76,86.85,78.84,76.73,82.34,95.61,37.6
Nov,16.86,75.8,3.2,12.96,93.86,111.9,79.24,78.76,113.11,33.3
Dec,44.51,30.68,11.52,0.87,26.35,28.65,28.41,29.57,26.1,5.3
