Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,13.3,16.86,0.0,16.47,0.0,15.21,55.98,0.0,22.25,0.0
Feb,11.21,7.85,0.0,5.4,0.0,0.0,4.35,2.45,0.0,8.5
Mar,2.65,2.44,21.13,2.16,0.0,5.11,0.0,0.0,0.0,0.5
Apr,2.24,4.78,0.0,5.29,12.56,13.54,1.51,0.0,6.42,6.5
May,1.03,3.06,0.0,0.6,0.0,3.39,0.0,0.0,6.65,0.0
Jun,79.07,85.07,61.67,87.98,106.64,54.41,90.58,66.0,89.43,66.5
Jul,217.71,258.47,132.38,443.24,318.52,333.51,262.6,281.29,351.7,532.5
Aug,319.35,343.2,101.29,347.38,313.02,290.46,321.39,385.34,290.03,215.5
Sep,259.98,248.62,66.02,227.28,156.14,119.51,186.77,206.23,120.37,157.0
Oct,9.42,17.19,22.41,19.98,19.91,22.28,6.73,23.63,35.57,2.0
Nov,0.27,12.91,0.0,0.1,0.0,0.0,0.18,0.0,16.85,0.0
Dec,8.37,11.58,0.0,0.0,0.0,8.36,4.6,4.47,0.0,0.0
