Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,0.93,0.77,0.1,0.97,10.22,0.0,0.0,0.0,0.0,0.0,8.73,0.0
Feb,0.1,0.09,0.0,0.1,0.09,10.29,0.16,0.35,0.0,0.1,0.3,0.0,0.0
Mar,0.1,1.2,0.17,0.1,1.59,5.16,0.0,1.66,12.61,0.08,1.46,5.92,0.0
Apr,0.1,1.6,0.0,0.1,6.61,14.9,0.22,10.02,0.0,1.57,1.8,14.78,0.0
May,0.29,6.66,0.21,5.94,8.63,0.0,4.28,6.05,0.0,5.64,8.42,0.0,0.0
Jun,257.57,278.26,0.0,268.49,197.6,0.0,53.05,10.9,150.29,46.55,17.51,121.24,298.9
Jul,588.45,617.56,0.0,584.53,628.05,0.0,391.93,683.16,0.0,397.89,1153.41,0.0,1311.4
Aug,353.61,396.84,0.0,349.8,437.56,0.0,384.56,427.63,0.0,397.13,425.69,0.0,444.7
Sep,238.98,263.44,136.33,230.79,347.73,153.43,448.5,366.06,0.0,382.7,305.49,0.0,128.0
Oct,35.1,50.47,42.58,32.27,60.98,49.09,55.38,41.69,67.01,56.76,28.16,69.07,7.0
Nov,2.56,13.9,0.59,2.46,13.85,16.57,3.16,58.4,5.99,1.48,49.7,8.2,0.0
Dec,7.54,2.28,0.0,0.0,1.94,0.26,14.51,0.0,0.0,17.47,0.0,0.0,0.0
