Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.11,0.83,0.0,0.1,0.0,0.0,0.14,0.0,5.19,0.0
Feb,0.1,0.02,17.7,0.1,0.0,0.27,0.09,0.0,0.0,0.0
Mar,0.0,1.04,17.87,0.0,0.0,0.0,0.96,0.0,13.4,0.0
Apr,0.62,5.39,0.0,0.56,4.19,4.92,0.0,3.76,0.0,0.0
May,0.0,0.56,0.0,5.4,0.0,17.87,0.97,0.0,0.0,0.0
Jun,18.65,12.69,100.13,37.1,96.35,91.93,41.0,100.91,101.51,298.9
Jul,542.98,540.12,216.94,461.34,546.85,489.14,500.5,578.53,524.1,1311.4
Aug,240.81,395.55,109.25,210.04,320.88,374.02,367.77,269.01,395.8,444.7
Sep,331.77,219.35,102.5,259.3,277.12,221.08,282.9,274.45,241.74,128.0
Oct,108.7,32.4,9.7,113.9,102.83,38.89,113.66,108.12,52.63,7.0
Nov,7.22,21.06,0.34,0.1,0.0,4.62,5.64,0.0,25.38,0.0
Dec,1.19,3.0,7.26,0.36,9.9,19.38,0.0,13.18,9.45,0.0
