Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.55,8.64,0.0,3.8,8.67,9.29,3.32,10.32,0.0,0.0,3.59,5.18,0.0
Feb,2.86,7.47,0.0,0.29,3.77,10.36,1.11,3.63,0.0,1.05,0.0,0.0,22.4
Mar,18.8,13.67,8.25,12.37,14.91,13.63,25.48,17.09,18.49,19.44,14.42,12.53,0.0
Apr,12.27,28.23,0.51,11.29,27.28,20.98,0.0,11.11,0.0,0.0,14.5,2.62,40.6
May,20.54,22.08,0.0,13.6,20.18,20.11,8.52,14.34,4.76,3.95,10.47,7.79,58.5
Jun,191.24,193.77,148.33,202.88,195.56,155.73,163.01,164.81,140.55,158.98,167.64,142.23,217.9
Jul,351.01,346.5,0.0,337.14,340.96,0.0,308.54,328.65,0.0,307.88,319.65,0.0,285.0
Aug,338.22,327.45,0.0,341.12,291.05,0.0,213.78,217.83,283.64,215.38,211.62,290.02,478.5
Sep,214.76,219.9,244.99,219.59,251.54,244.94,180.42,246.23,242.02,223.05,260.56,242.86,101.9
Oct,49.88,61.01,35.09,50.27,58.78,46.56,67.39,117.95,74.94,69.87,107.42,83.57,3.2
Nov,1.85,7.49,0.44,2.51,7.65,0.0,0.19,1.78,0.0,0.29,1.48,4.76,0.0
Dec,0.1,3.39,0.0,0.17,3.81,0.0,0.64,0.0,0.0,0.0,0.0,0.0,60.0
