Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.89,16.23,0.0,5.73,18.08,4.23,3.83,4.47,0.51,3.48,1.52,0.0,0.0
Feb,16.15,27.96,0.89,14.69,21.88,0.0,23.6,29.34,0.0,21.2,29.11,7.7,0.0
Mar,16.26,20.74,8.44,17.79,20.96,12.45,0.0,4.53,0.48,4.05,4.01,2.69,0.0
Apr,17.23,25.49,5.36,12.3,24.87,5.23,22.0,2.02,7.87,27.11,1.16,18.29,63.9
May,45.7,50.24,22.44,42.78,50.56,43.03,42.69,54.75,38.48,42.92,48.3,40.37,45.6
Jun,170.27,206.22,95.36,177.38,215.85,100.82,147.53,131.41,116.19,148.3,147.32,117.91,186.7
Jul,282.14,329.58,0.0,277.38,327.64,0.0,267.71,183.03,465.02,260.43,231.1,463.94,243.6
Aug,332.5,301.03,0.0,305.22,245.37,0.0,79.28,332.04,153.71,80.44,352.44,169.7,196.7
Sep,217.18,240.15,106.51,215.65,212.77,115.71,272.42,258.22,145.88,281.09,234.84,155.75,127.2
Oct,123.55,82.75,118.16,132.65,86.98,116.2,38.48,97.44,48.82,37.7,29.62,55.93,21.5
Nov,3.3,8.85,0.21,4.16,9.32,11.58,0.0,6.59,9.0,0.0,0.58,15.57,0.0
Dec,0.23,3.36,0.14,0.61,3.75,0.0,0.0,7.39,9.69,0.0,2.89,13.63,17.5
