Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,14.26,20.0,0.37,11.93,16.52,8.48,12.29,16.15,5.26,13.24,20.11,3.29,25.0
Feb,39.67,40.14,53.09,37.56,40.5,28.43,21.78,41.67,65.34,18.81,41.53,59.51,24.0
Mar,76.64,73.04,66.01,76.57,51.19,72.69,74.7,64.21,70.9,76.88,329.86,68.64,70.0
Apr,121.07,167.11,246.28,151.85,159.53,241.81,49.09,0.0,0.0,44.65,0.0,6.44,34.0
May,262.19,287.26,215.29,290.88,273.55,241.7,354.21,337.51,0.0,355.14,311.53,0.0,61.0
Jun,356.49,376.66,0.0,365.43,421.43,0.0,387.6,231.49,0.0,383.5,288.26,0.0,
Jul,435.8,414.62,0.0,429.82,472.13,0.0,280.71,411.86,0.0,278.75,533.93,0.0,
Aug,330.35,339.04,0.0,327.42,383.36,0.0,572.06,708.72,0.0,561.33,569.52,0.0,211.0
Sep,190.96,243.19,370.44,260.34,282.0,371.13,54.15,342.89,0.0,274.66,627.69,0.0,228.2
Oct,169.09,129.12,164.06,164.25,88.28,166.67,176.26,140.77,175.36,226.47,194.26,212.79,28.0
Nov,15.04,24.0,0.0,13.38,24.86,18.77,13.52,14.46,8.71,13.79,15.87,8.72,37.0
Dec,8.94,16.17,0.0,8.76,7.71,0.0,4.25,3.63,0.91,4.62,3.61,1.89,16.0
