Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.0,22.03,9.31,8.1,4.8,0.0,6.97,3.11,8.01,25.0
Feb,84.74,62.0,2.76,50.48,48.39,26.94,48.52,51.73,32.1,24.0
Mar,0.0,102.66,14.09,9.27,46.16,32.37,41.96,49.38,39.87,70.0
Apr,149.5,206.12,37.98,91.28,81.67,84.66,39.78,269.8,92.8,34.0
May,338.78,445.74,63.13,278.84,271.87,257.83,314.26,341.04,263.77,61.0
Jun,419.6,572.48,95.78,352.41,440.75,334.58,346.6,230.78,339.3,
Jul,512.55,557.87,103.87,234.07,355.65,363.89,363.02,168.16,365.23,
Aug,521.35,532.4,100.58,316.9,347.77,372.94,367.71,407.8,375.52,211.0
Sep,201.64,417.88,55.81,435.6,389.02,313.9,347.36,362.99,314.3,228.2
Oct,145.88,171.2,44.74,153.9,94.93,83.98,85.59,513.09,81.33,28.0
Nov,0.0,49.23,17.08,3.1,12.1,4.02,2.91,16.55,15.28,37.0
Dec,0.0,15.61,1.31,9.4,2.32,4.85,0.0,0.0,1.51,16.0
