Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,13.88,9.49,0.0,9.8,9.43,15.74,29.25,14.57,17.88,23.54,11.28,11.5,0.0
Feb,2.89,5.71,0.7,1.53,3.88,0.0,0.16,3.07,0.0,0.6,3.5,9.5,1.3
Mar,0.92,4.69,0.0,10.91,4.29,1.52,26.6,0.0,9.01,28.2,0.0,8.24,0.0
Apr,0.85,3.11,0.0,2.44,3.11,0.0,12.77,7.79,2.75,8.75,8.55,9.62,8.4
May,8.02,9.6,3.18,7.02,8.86,0.0,31.1,5.64,0.0,18.39,5.19,4.22,4.4
Jun,48.33,53.68,24.55,40.36,53.22,34.44,80.49,36.48,15.54,81.02,38.89,31.58,72.5
Jul,268.74,267.64,86.88,275.12,273.27,95.12,266.24,220.91,120.72,264.46,245.74,120.12,277.8
Aug,263.14,249.4,126.13,254.43,265.01,129.89,257.81,207.75,167.66,227.85,292.69,146.45,213.7
Sep,104.02,111.49,35.0,104.22,112.99,43.25,83.63,80.66,51.65,69.64,79.88,46.62,144.2
Oct,3.67,15.38,0.78,2.28,11.72,20.7,56.9,52.3,33.71,56.49,47.27,34.56,0.3
Nov,0.4,6.9,0.0,0.85,9.95,0.0,0.0,5.93,0.0,0.0,8.4,5.1,0.0
Dec,1.38,3.99,0.39,0.54,3.89,0.0,3.94,0.0,0.0,2.75,0.0,13.7,1.0
