Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.13,8.15,0.0,11.6,3.0,15.5,6.48,5.6,8.2,0.0
Feb,2.87,3.13,0.0,0.89,2.02,2.45,0.0,2.01,2.91,1.3
Mar,0.0,0.37,0.0,1.48,0.0,6.66,23.51,0.0,13.82,0.0
Apr,1.46,1.25,3.0,4.98,5.26,0.0,3.51,6.55,6.42,8.4
May,0.99,4.02,0.0,4.7,4.71,0.0,2.79,4.73,11.71,4.4
Jun,23.59,30.22,22.85,33.65,46.46,0.36,11.76,36.98,22.43,72.5
Jul,133.05,189.7,94.4,144.05,171.61,140.51,139.2,159.62,146.72,277.8
Aug,160.3,175.73,113.18,421.37,241.21,186.1,259.83,290.95,201.14,213.7
Sep,189.81,160.69,21.76,13.49,109.61,83.39,65.08,232.45,95.69,144.2
Oct,3.5,12.21,0.0,0.0,28.9,16.04,0.0,39.37,34.28,0.3
Nov,0.1,7.41,6.0,5.38,9.07,10.37,4.59,10.79,14.01,0.0
Dec,0.07,4.86,1.92,0.1,3.45,19.54,0.51,10.55,6.68,1.0
