Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,16.18,22.21,0.0,26.08,61.58,0.0,115.17,35.01,42.31,137.97,2.3,32.13,39.0
Feb,130.87,97.2,90.78,110.67,134.51,122.23,91.27,77.29,138.01,90.3,91.98,121.24,83.0
Mar,191.7,190.84,329.23,204.62,212.14,312.86,186.41,597.45,271.51,185.08,713.66,263.42,36.0
Apr,117.2,123.17,64.24,107.27,133.71,67.62,87.48,406.48,121.68,77.35,538.32,133.8,
May,126.52,189.29,40.62,154.93,315.7,69.23,591.34,352.81,0.0,594.91,253.52,0.0,
Jun,356.0,291.3,0.0,338.79,255.54,0.0,805.19,72.39,0.0,789.82,1769.71,0.0,
Jul,295.29,247.17,0.0,374.52,275.9,0.0,100.92,372.6,0.0,95.45,365.03,0.0,
Aug,526.25,295.33,27.9,654.19,171.69,65.35,10000.0,0.0,0.0,10000.0,0.0,0.0,
Sep,180.2,238.97,256.39,185.27,325.48,257.96,10000.0,255.51,0.0,10000.0,255.54,0.0,
Oct,99.13,118.63,114.32,138.19,142.51,116.12,277.8,282.79,0.0,278.63,358.09,3242195456.0,0.0
Nov,14.1,23.36,3.1,14.1,56.96,0.0,13.47,0.0,117.81,13.55,0.0,115.73,0.0
Dec,5.48,12.28,1.39,8.36,35.59,0.0,17.62,33.35,45.74,8.55,45.83,44.15,0.0
