Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.09,13.99,0.0,14.26,15.75,5.6,19.79,12.18,5.05,0.0
Feb,5.68,2.67,6.3,5.1,2.8,0.0,3.53,2.93,3.59,0.0
Mar,12.66,7.21,16.64,4.84,10.32,11.5,13.95,0.63,0.0,0.0
Apr,13.48,21.99,20.75,51.21,23.95,12.93,39.56,10.3,20.0,
May,50.2,54.31,32.0,71.2,54.86,52.94,55.55,46.92,50.45,
Jun,136.34,152.39,97.91,174.5,221.74,120.08,184.05,336.97,132.98,103.0
Jul,182.27,222.81,118.47,391.35,622.69,277.16,364.44,579.19,294.07,175.2
Aug,271.6,241.04,92.39,345.78,311.31,223.85,300.41,299.93,238.23,273.0
Sep,145.65,197.53,62.16,185.29,236.29,189.2,221.23,212.5,194.58,150.8
Oct,79.24,102.05,49.11,23.62,33.4,111.9,27.86,40.98,111.28,48.6
Nov,7.52,5.81,0.0,21.01,24.65,14.94,14.11,0.0,33.68,0.0
Dec,0.72,3.1,0.0,0.0,0.25,9.6,0.0,1.03,0.0,16.2
