Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.36,10.81,0.0,0.0,9.5,0.0,17.19,0.0,3.78,18.11,0.0,0.89,0.0
Feb,20.58,16.03,2.07,0.0,11.27,9.64,2.66,6.81,3.19,1.51,3.7,8.27,0.0
Mar,41.59,48.86,23.61,40.16,48.44,38.43,0.0,15.32,0.0,0.0,16.54,14.05,0.0
Apr,120.54,172.85,265.39,136.58,154.67,264.88,48.7,191.68,329.3,50.93,352.96,204.79,31.1
May,299.47,256.85,156.07,294.24,198.22,155.63,134.08,87.29,172.38,163.83,106.47,143.1,60.6
Jun,223.87,338.56,0.0,201.08,339.91,0.0,167.68,243.22,197.84,167.58,316.11,182.21,149.2
Jul,301.6,363.53,0.0,314.49,380.17,0.0,184.07,180.78,108.95,184.81,599.05,0.0,115.3
Aug,329.48,334.56,0.0,310.54,327.25,0.0,171.59,181.53,165.08,168.99,69.16,167.83,223.0
Sep,204.1,238.2,144.88,207.69,236.22,146.21,168.29,193.15,164.21,176.21,145.69,164.93,132.9
Oct,83.03,107.51,18.04,75.75,107.03,34.86,32.26,140.91,80.14,31.91,0.0,86.16,24.1
Nov,5.7,16.33,0.0,7.75,16.57,0.78,0.0,0.0,14.04,0.0,0.0,23.5,0.0
Dec,4.86,10.16,0.0,4.83,14.37,10.82,0.0,0.0,12.14,0.2,0.55,14.54,0.0
