Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,20.48,6.14,0.0,8.94,8.38,0.0,6.09,0.05,0.0,0.6
Feb,13.71,11.76,11.87,20.0,10.11,22.07,0.0,0.0,10.45,24.9
Mar,128.36,131.47,4.72,1.16,69.62,46.11,91.9,122.24,47.39,113.0
Apr,262.93,212.27,24.59,206.07,289.63,177.83,261.03,303.37,156.33,268.5
May,325.23,329.77,42.24,255.2,17.61,268.03,96.4,73.45,274.99,302.7
Jun,366.85,470.89,85.15,472.8,473.41,362.27,450.21,718.08,374.25,456.0
Jul,321.45,752.91,97.85,522.07,443.83,382.37,481.2,1271.08,397.34,408.9
Aug,209.49,299.43,55.92,253.58,316.6,288.06,304.73,408.67,300.81,442.6
Sep,253.83,360.01,49.87,316.2,269.91,230.72,277.96,378.24,240.74,279.5
Oct,112.04,93.63,0.0,99.5,72.26,73.7,87.17,73.41,79.16,44.5
Nov,40.84,20.37,3.61,1.67,12.97,36.81,13.5,9.88,29.15,11.4
Dec,0.54,2.23,0.0,0.5,0.62,0.0,0.65,0.0,1.89,23.7
