Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,13.08,13.8,0.41,13.97,13.56,0.53,6.22,16.15,21.08,4.67,14.09,6.6,0.0
Feb,35.36,34.21,0.31,38.27,33.58,0.0,6.7,14.15,6.3,6.4,22.77,10.22,1.8
Mar,20.8,26.91,0.0,18.31,28.44,1.01,0.0,10.42,12.06,0.0,10.16,10.95,2.9
Apr,27.4,40.36,2.68,38.53,41.44,4.36,23.55,41.59,0.0,24.37,37.45,22.04,171.1
May,79.19,84.8,289.47,81.67,94.65,304.17,216.53,0.0,324.0,233.93,0.0,300.0,88.9
Jun,183.13,215.19,102.31,188.05,213.04,105.81,99.21,150.08,126.45,105.67,151.89,132.03,173.5
Jul,456.88,377.68,631.59,392.33,377.3,626.36,380.89,318.32,0.0,377.62,385.1,0.0,419.8
Aug,311.7,331.41,0.0,338.93,321.61,0.0,317.43,460.16,0.0,326.65,424.39,0.0,395.7
Sep,222.44,229.43,246.23,225.45,233.28,245.88,134.83,308.1,211.1,135.71,128.64,213.44,214.6
Oct,78.23,96.02,108.85,82.54,91.21,111.66,49.22,117.9,101.17,49.09,53.53,104.59,62.7
Nov,6.42,10.0,0.0,4.75,7.58,0.0,19.71,9.88,15.54,19.3,4.48,13.97,5.5
Dec,0.37,3.37,0.0,0.39,3.53,0.0,1.49,3.73,5.2,1.43,1.68,11.09,65.0
