Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,13.55,11.21,0.0,6.1,11.06,0.0,10.19,9.8,10.41,9.3,1.05,15.45,1.6
Feb,5.76,11.54,0.58,16.91,10.49,3.75,0.0,1.48,7.8,0.0,0.95,3.14,0.0
Mar,4.55,10.37,0.0,10.54,11.33,13.77,19.44,0.0,7.94,18.83,0.0,16.21,0.2
Apr,3.01,6.21,0.0,2.67,6.01,0.0,47.99,9.05,3.93,13.5,8.45,14.81,8.8
May,4.65,14.2,20.29,22.02,12.67,19.03,13.79,29.83,9.62,27.51,32.43,25.54,7.3
Jun,55.79,40.8,54.46,45.24,50.31,66.0,55.4,0.0,57.37,57.87,0.0,34.04,77.3
Jul,182.28,189.65,116.78,181.97,191.29,130.05,258.44,201.04,131.38,258.8,338.27,140.88,304.8
Aug,140.54,186.51,27.61,152.04,208.16,54.7,194.63,247.75,55.76,194.95,151.41,103.17,43.0
Sep,89.73,109.38,195.35,131.09,117.18,190.79,0.0,0.0,255.9,0.0,0.0,216.08,114.2
Oct,1.89,10.16,0.3,1.58,3.74,0.0,9.49,0.0,7.69,10.91,9.8,14.88,0.0
Nov,0.06,5.59,0.0,0.31,6.08,2.0,0.08,0.0,6.78,0.23,0.0,12.22,3.8
Dec,2.17,4.16,0.0,3.43,3.88,4.23,0.0,3.24,3.34,0.0,4.81,2.22,0.0
