Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.1,8.59,0.0,10.12,9.16,19.09,0.0,0.0,18.25,0.8,0.0,0.0,3.6
Feb,4.62,10.78,0.28,17.28,8.08,2.31,10.18,6.82,14.81,11.72,4.22,10.31,0.0
Mar,6.66,8.86,0.0,5.54,7.62,0.0,0.91,0.0,11.12,2.0,2.39,14.3,0.0
Apr,3.82,6.57,0.58,3.55,6.1,0.0,0.0,0.0,7.71,0.31,0.0,11.3,1.7
May,7.22,11.71,0.36,7.49,12.31,6.7,0.0,6.54,0.0,0.0,7.68,7.14,7.1
Jun,31.08,34.93,32.08,31.2,35.48,16.73,15.32,40.14,23.43,16.9,31.28,24.96,42.3
Jul,84.74,88.98,19.73,84.22,87.97,34.27,39.06,108.6,31.37,38.99,77.75,40.41,75.7
Aug,108.37,104.74,17.05,102.27,84.65,28.33,102.02,27.08,42.93,104.89,26.65,41.28,26.3
Sep,48.67,50.91,29.55,52.52,51.7,31.83,41.8,0.0,42.02,38.5,0.0,44.53,54.2
Oct,0.76,3.7,0.58,0.13,0.63,0.0,2.92,0.0,0.0,2.97,0.0,6.67,0.0
Nov,0.63,2.76,0.4,1.0,2.71,10.29,1.76,0.65,0.0,1.82,0.64,1.28,0.0
Dec,6.39,4.45,0.0,4.04,4.06,7.29,0.0,0.0,6.33,3.68,0.0,1.47,7.8
