Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,6.7,8.43,0.0,0.0,6.37,0.0,0.0,6.37,10.43,3.6
Feb,0.0,5.57,14.55,0.99,3.56,9.28,2.25,5.62,0.0,0.0
Mar,12.11,0.0,0.0,3.38,0.0,0.0,0.0,0.0,10.49,0.0
Apr,0.54,0.87,16.23,5.95,5.24,6.39,0.27,8.84,2.49,1.7
May,2.89,7.27,0.0,1.9,3.33,8.75,1.17,1.78,0.0,7.1
Jun,15.91,22.58,36.35,36.88,50.58,25.56,65.62,51.0,9.48,42.3
Jul,69.82,75.16,40.65,53.7,90.91,36.05,42.47,86.02,62.71,75.7
Aug,57.81,44.39,62.99,41.37,52.41,42.07,50.6,69.21,56.93,26.3
Sep,43.3,59.4,26.98,52.57,62.36,40.55,42.86,63.63,50.64,54.2
Oct,2.0,4.85,0.14,4.0,11.35,9.24,2.94,24.78,16.18,0.0
Nov,0.0,1.97,18.04,1.72,0.89,0.0,4.64,0.53,0.0,0.0
Dec,3.07,4.52,18.74,4.85,2.62,0.0,1.5,6.18,0.0,7.8
