Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,10.58,19.06,0.71,11.33,18.29,10.21,18.17,20.68,1.32,14.62,11.45,11.82,0.0
Feb,7.46,11.09,0.78,8.51,10.64,0.0,3.77,6.75,17.24,3.89,0.0,10.3,0.0
Mar,2.29,9.84,0.48,1.95,9.75,14.19,17.21,0.0,0.0,0.0,0.0,1.33,0.0
Apr,1.61,3.41,0.0,3.9,4.84,12.75,3.68,4.91,0.07,3.07,3.68,0.0,1.3
May,0.02,13.47,0.0,65.63,10.64,18.17,3.29,63.17,0.0,5.34,266.53,0.0,47.7
Jun,69.14,90.3,32.77,69.22,90.78,46.24,0.0,48.63,28.4,0.0,70.69,46.85,1.7
Jul,251.59,283.76,213.64,252.18,281.92,27.68,329.29,201.86,240.41,278.29,380.79,231.14,188.3
Aug,257.23,262.53,0.0,233.9,248.4,0.0,164.24,111.55,109.73,162.21,142.04,114.35,226.0
Sep,102.25,132.59,40.32,108.5,102.8,58.65,13.05,59.61,43.97,17.25,56.52,59.62,54.8
Oct,9.64,25.27,0.0,10.42,22.93,5.18,80.28,45.34,25.49,80.13,37.04,22.75,0.0
Nov,0.65,8.77,0.01,0.34,8.18,0.0,0.0,3.9,2.73,0.0,2.47,11.49,0.0
Dec,2.38,7.69,0.0,2.09,7.62,7.42,4.02,6.67,0.0,3.89,1.56,13.35,0.0
