Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.0,10.99,0.0,5.9,10.99,8.24,21.89,30.74,18.8,18.98,25.32,19.09,1.7
Feb,4.68,8.67,0.19,1.28,6.42,0.0,0.47,0.74,2.74,0.49,2.0,7.99,23.5
Mar,3.86,6.24,5.24,2.65,5.96,13.94,0.0,0.0,0.0,14.96,0.0,1.9,0.0
Apr,0.69,3.58,0.0,1.85,3.93,11.1,16.39,17.17,8.64,15.06,16.21,14.48,19.2
May,1.11,8.99,8.59,3.26,8.56,13.21,19.51,5.78,0.0,16.17,5.95,4.77,26.1
Jun,31.21,51.01,28.05,30.37,52.16,43.57,66.2,45.27,31.35,66.09,48.86,34.64,6.7
Jul,194.86,228.38,144.6,216.23,235.96,162.13,202.42,174.72,166.21,195.6,200.3,165.71,429.9
Aug,261.16,244.14,191.74,268.97,276.6,199.35,101.69,139.78,149.2,106.17,135.43,155.22,197.2
Sep,100.94,126.1,103.07,103.27,129.52,111.82,22.73,6.91,74.44,13.88,12.88,101.55,131.4
Oct,3.29,15.78,0.6,2.26,14.36,3.26,72.77,37.03,7.21,72.63,30.21,22.94,0.0
Nov,0.17,6.11,0.4,0.19,8.39,5.68,0.92,7.82,11.45,0.91,2.56,0.0,0.0
Dec,0.77,6.18,0.78,0.46,6.45,0.0,27.79,8.47,6.34,23.64,12.05,0.0,1.3
